Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIIIIIII (-80.08225714874858+0j)
XIXYZIIIIIIIYXZIYXZIXIIIXIXY (-0.005819270945364453+0j)
XIXXZIIIIIIIYYZIYXZIXIIIXIXY (0.005819270945364453+0j)
YIIIZIIIIIIIYXZIYYZIXIIIXIXX (0.0028457755036875414+0j)
XZZIZIIIIIIIYYZIYYZIXIIIXIXX (-0.0028457755036875414+0j)
YIIIZIIIIIIIYXZIYXZIXIIIXIXY (-0.0028457755036875414+0j)
XZZIZIIIIIIIYYZIYXZIXIIIXIXY (0.0028457755036875414+0j)
IIIIXIIIXIXYYZZIYYZIXIIIXIXX (0.005817330366989517+0j)
IIIIXIIIXIXXXIIIXYZIYIIIXIXX (0.005817330366989517+0j)
IIIIXIIIXIXYYZZIYXZIXIIIXIXY (-0.005817330366989517+0j)
IIIIXIIIXIXXXIIIXXZIYIIIXIXY (-0.005817330366989517+0j)
IIIIXIIIYIIIYZZIYYZIXIIIXIXX (2.4599728423571362e-05+0j)
IIIIXIIIXZZIXIIIXYZIYIIIXIXX (2.4599728423571362e-05+0j)
IIIIXIIIYIIIYZZIYXZIXIIIXIXY (-2.4599728423571362e-05+0j)
IIIIXIIIXZZIXIIIXXZIYIIIXIXY (-2.4599728423571362e-05+0j)
XIYIZIIIIIIIYZZIYYZIXIIIXIXX (0.004545249474234869+0j)
XIXZZIIIIIIIXIIIXYZIYIIIXIXX (0.004545249474234869+0j)
XIYIZIIIIIIIYZZIYXZIXIIIXIXY (-0.004545249474234869+0j)
XIXZZIIIIIIIXIIIXXZIYIIIXIXY (-0.004545249474234869+0j)
IIIIIIIIIIZXIIIIXYZIYIIIXIXX (0.000679384182618677+0j)
IIIIIIIIIIIXIIIIXYZIYIIIXIXX (-0.000679384182618677+0j)
IIIIIIIIIIZXIIIIXXZIYIIIXIXY (-0.000679384182618677+0j)
IIIIIIIIIIIXIIIIXXZIYIIIXIXY (0.000679384182618677+0j)
XIXYYIIIXIXXIIIIXYZIYIIIXIXX (-0.0012669344645279727+0j)
XIXXYIIIXIXYIIIIXYZIYIIIXIXX (0.0012669344645279727+0j)
XIXYYIIIXIXXIIIIXXZIYIIIXIXY (0.0012669344645279727+0j)
XIXXYIIIXIXYIIIIXXZIYIIIXIXY (-0.0012669344645279727+0j)
YIIIYIIIXIXXIIIIXYZIYIIIXIXX (-0.0017236697558176883+0j)
XZZIYIIIXIXYIIIIXYZIYIIIXIXX (0.0017236697558176883+0j)
YIIIYIIIXIXXIIIIXXZIYIIIXIXY (0.0017236697558176883+0j)
XZZIYIIIXIXYIIIIXXZIYIIIXIXY (-0.0017236697558176883+0j)
IIIIIIIIZIXZIIIIXYZIYIIIXIXX (-0.0004423336329893332+0j)
IIIIIIIIIZXIIIIIXYZIYIIIXIXX (0.0004423336329893332+0j)
IIIIIIIIZIXZIIIIXXZIYIIIXIXY (0.0004423336329893332+0j)
IIIIIIIIIZXIIIIIXXZIYIIIXIXY (-0.0004423336329893332+0j)
XIYIYIIIXIXZIIIIXYZIYIIIXIXX (-0.0005757009633000468+0j)
XIXZYIIIXIYIIIIIXYZIYIIIXIXX (0.0005757009633000468+0j)
XIYIYIIIXIXZIIIIXXZIYIIIXIXY (0.0005757009633000468+0j)
XIXZYIIIXIYIIIIIXXZIYIIIXIXY (-0.0005757009633000468+0j)
IIIIIIXYYXZIIIIIXYZIYIIIXIXX (-8.878085496531674e-05+0j)
IIIIIIXXYYZIIIIIXYZIYIIIXIXX (8.878085496531674e-05+0j)
IIIIIIXYYXZIIIIIXXZIYIIIXIXY (8.878085496531674e-05+0j)
IIIIIIXXYYZIIIIIXXZIYIIIXIXY (-8.878085496531674e-05+0j)
XYZIYIIIXXZIIIIIXYZIYIIIXIXX (-0.0007632922792504722+0j)
XXZIYIIIXYZIIIIIXYZIYIIIXIXX (0.0007632922792504722+0j)
XYZIYIIIXXZIIIIIXXZIYIIIXIXY (0.0007632922792504722+0j)
XXZIYIIIXYZIIIIIXXZIYIIIXIXY (-0.0007632922792504722+0j)
XIXYYIIIXZZIIIIIXYZIYIIIXIXX (0.00025418466876612187+0j)
XIXXYIIIYIIIIIIIXYZIYIIIXIXX (-0.00025418466876612187+0j)
XIXYYIIIXZZIIIIIXXZIYIIIXIXY (-0.00025418466876612187+0j)
XIXXYIIIYIIIIIIIXXZIYIIIXIXY (0.00025418466876612187+0j)
YIIIYIIIXZZIIIIIXYZIYIIIXIXX (0.0011413068488248968+0j)
XZZIYIIIYIIIIIIIXYZIYIIIXIXX (-0.0011413068488248968+0j)
YIIIYIIIXZZIIIIIXXZIYIIIXIXY (-0.0011413068488248968+0j)
XZZIYIIIYIIIIIIIXXZIYIIIXIXY (0.0011413068488248968+0j)
IIIIZIXXZIIIIIIIXYZIYIIIXIXX (0.0006508264889607085+0j)
IIIIIZYYIIIIIIIIXYZIYIIIXIXX (0.0006508264889607085+0j)
IIIIZIXXZIIIIIIIXXZIYIIIXIXY (-0.0006508264889607085+0j)
IIIIIZYYIIIIIIIIXXZIYIIIXIXY (-0.0006508264889607085+0j)
IIIIIYYZIIIIIIIIXYZIYIIIXIXX (0.0006787557288067049+0j)
IIIIIXXIIIIIIIIIXYZIYIIIXIXX (0.0006787557288067049+0j)
IIIIIYYZIIIIIIIIXXZIYIIIXIXY (-0.0006787557288067049+0j)
IIIIIXXIIIIIIIIIXXZIYIIIXIXY (-0.0006787557288067049+0j)
XYZIYZZIZIIIIIIIXYZIYIIIXIXX (-0.0008433594286464273+0j)
XXZIXIIIIIIIIIIIXYZIYIIIXIXX (-0.0008433594286464273+0j)
XYZIYZZIZIIIIIIIXXZIYIIIXIXY (0.0008433594286464273+0j)
XXZIXIIIIIIIIIIIXXZIYIIIXIXY (0.0008433594286464273+0j)
IIZXIIIIIIIIIIIIXYZIYIIIXIXX (0.00047494513084236575+0j)
IIIXIIIIIIIIIIIIXYZIYIIIXIXX (-0.00047494513084236575+0j)
IIZXIIIIIIIIIIIIXXZIYIIIXIXY (-0.00047494513084236575+0j)
IIIXIIIIIIIIIIIIXXZIYIIIXIXY (0.00047494513084236575+0j)
ZIXZIIIIIIIIIIIIXYZIYIIIXIXX (0.00017057742292755814+0j)
IZXIIIIIIIIIIIIIXYZIYIIIXIXX (-0.00017057742292755814+0j)
ZIXZIIIIIIIIIIIIXXZIYIIIXIXY (-0.00017057742292755814+0j)
IZXIIIIIIIIIIIIIXXZIYIIIXIXY (0.00017057742292755814+0j)
IIIIIIIIIIIIIIIZYIIIYIIIXIXX (0.003791945418583475+0j)
IIIIIIIIIIIIIIIZXZZIYIIIXIXY (-0.003791945418583475+0j)
IIIIIIIIIIIIIIZZYIIIYIIIXIXX (0.0069122319270227125+0j)
IIIIIIIIIIIIIIZZXZZIYIIIXIXY (-0.0069122319270227125+0j)
IIIIIIIIIIIIIZIIYIIIYIIIXIXX (0.02949031369654392+0j)
IIIIIIIIIIIIIZIIXZZIYIIIXIXY (-0.02949031369654392+0j)
IIIIXIIIXIXYYXZIXIIIXIIIXIXX (-0.003938952614773277+0j)
IIIIXIIIXIXXYYZIXIIIXIIIXIXX (0.003938952614773277+0j)
IIIIXIIIXIXYYXZIYZZIXIIIXIXY (-0.003938952614773277+0j)
IIIIXIIIXIXXYYZIYZZIXIIIXIXY (0.003938952614773277+0j)
IIIIXIIIYIIIYXZIXIIIXIIIXIXX (-0.0011615685847278687+0j)
IIIIXIIIXZZIYYZIXIIIXIIIXIXX (0.0011615685847278687+0j)
IIIIXIIIYIIIYXZIYZZIXIIIXIXY (-0.0011615685847278687+0j)
IIIIXIIIXZZIYYZIYZZIXIIIXIXY (0.0011615685847278687+0j)
XIYIZIIIIIIIYXZIXIIIXIIIXIXX (-0.004247256068795242+0j)
XIXZZIIIIIIIYYZIXIIIXIIIXIXX (0.004247256068795242+0j)
XIYIZIIIIIIIYXZIYZZIXIIIXIXY (-0.004247256068795242+0j)
XIXZZIIIIIIIYYZIYZZIXIIIXIXY (0.004247256068795242+0j)
IIIIIIIIIIIIZZZIXIIIXIIIXIXX (-0.029486773782028894+0j)
IIIIIIIIIIIIZZZIYZZIXIIIXIXY (-0.029486773782028894+0j)
IIIIXIIIXIYIYZZIXIIIXIIIXIXX (-0.0039109847129270995+0j)
IIIIXIIIXIXZXIIIYIIIYIIIXIXX (0.0039109847129270995+0j)
IIIIXIIIXIYIYZZIYZZIXIIIXIXY (-0.0039109847129270995+0j)
IIIIXIIIXIXZXIIIXZZIYIIIXIXY (-0.0039109847129270995+0j)
XIXYZIIIIIIIYZZIXIIIXIIIXIXX (-0.004580730389039432+0j)
XIXXZIIIIIIIXIIIYIIIYIIIXIXX (0.004580730389039432+0j)
XIXYZIIIIIIIYZZIYZZIXIIIXIXY (-0.004580730389039432+0j)
XIXXZIIIIIIIXIIIXZZIYIIIXIXY (-0.004580730389039432+0j)
YIIIZIIIIIIIYZZIXIIIXIIIXIXX (-0.00016207031820301979+0j)
XZZIZIIIIIIIXIIIYIIIYIIIXIXX (0.00016207031820301979+0j)
YIIIZIIIIIIIYZZIYZZIXIIIXIXY (-0.00016207031820301979+0j)
XZZIZIIIIIIIXIIIXZZIYIIIXIXY (-0.00016207031820301979+0j)
IIIIIIIIIIIZIIIIYIIIYIIIXIXX (0.0031378292903403875+0j)
IIIIIIIIIIIZIIIIXZZIYIIIXIXY (-0.0031378292903403875+0j)
IIIIIIIIZIXXIIIIYIIIYIIIXIXX (-0.002806437892496392+0j)
IIIIIIIIIZYYIIIIYIIIYIIIXIXX (-0.002806437892496392+0j)
IIIIIIIIZIXXIIIIXZZIYIIIXIXY (0.002806437892496392+0j)
IIIIIIIIIZYYIIIIXZZIYIIIXIXY (0.002806437892496392+0j)
XIYIYIIIXIXXIIIIYIIIYIIIXIXX (6.55129428176069e-05+0j)
XIXZYIIIXIXYIIIIYIIIYIIIXIXX (-6.55129428176069e-05+0j)
XIYIYIIIXIXXIIIIXZZIYIIIXIXY (-6.55129428176069e-05+0j)
XIXZYIIIXIXYIIIIXZZIYIIIXIXY (6.55129428176069e-05+0j)
IIIIIIIIIIZZIIIIYIIIYIIIXIXX (-0.0002443999941025552+0j)
IIIIIIIIIIZZIIIIXZZIYIIIXIXY (0.0002443999941025552+0j)
XIXYYIIIXIXZIIIIYIIIYIIIXIXX (-0.0003777758503373034+0j)
XIXXYIIIXIYIIIIIYIIIYIIIXIXX (0.0003777758503373034+0j)
XIXYYIIIXIXZIIIIXZZIYIIIXIXY (0.0003777758503373034+0j)
XIXXYIIIXIYIIIIIXZZIYIIIXIXY (-0.0003777758503373034+0j)
YIIIYIIIXIXZIIIIYIIIYIIIXIXX (-0.0016110174058660174+0j)
XZZIYIIIXIYIIIIIYIIIYIIIXIXX (0.0016110174058660174+0j)
YIIIYIIIXIXZIIIIXZZIYIIIXIXY (0.0016110174058660174+0j)
XZZIYIIIXIYIIIIIXZZIYIIIXIXY (-0.0016110174058660174+0j)
IIIIIIIIIZIIIIIIYIIIYIIIXIXX (0.0007702529379032089+0j)
IIIIIIIIIZIIIIIIXZZIYIIIXIXY (-0.0007702529379032089+0j)
IIIIZIIIXXZIIIIIYIIIYIIIXIXX (0.0013031603663802688+0j)
IIIIIZZIYYZIIIIIYIIIYIIIXIXX (0.0013031603663802688+0j)
IIIIZIIIXXZIIIIIXZZIYIIIXIXY (-0.0013031603663802688+0j)
IIIIIZZIYYZIIIIIXZZIYIIIXIXY (-0.0013031603663802688+0j)
IIIIIIIIZZZIIIIIYIIIYIIIXIXX (0.0015965841107999593+0j)
IIIIIIIIZZZIIIIIXZZIYIIIXIXY (-0.0015965841107999593+0j)
XIYIYIIIXZZIIIIIYIIIYIIIXIXX (0.0002302031985007258+0j)
XIXZYIIIYIIIIIIIYIIIYIIIXIXX (-0.0002302031985007258+0j)
XIYIYIIIXZZIIIIIXZZIYIIIXIXY (-0.0002302031985007258+0j)
XIXZYIIIYIIIIIIIXZZIYIIIXIXY (0.0002302031985007258+0j)
IIIIIIIZIIIIIIIIYIIIYIIIXIXX (0.000242688114922965+0j)
IIIIIIIZIIIIIIIIXZZIYIIIXIXY (-0.000242688114922965+0j)
XYZIYIXXZIIIIIIIYIIIYIIIXIXX (-0.0010011196818813398+0j)
XXZIYIXYZIIIIIIIYIIIYIIIXIXX (0.0010011196818813398+0j)
XYZIYIXXZIIIIIIIXZZIYIIIXIXY (0.0010011196818813398+0j)
XXZIYIXYZIIIIIIIXZZIYIIIXIXY (-0.0010011196818813398+0j)
IIIIIIZZIIIIIIIIYIIIYIIIXIXX (0.00167217449244857+0j)
IIIIIIZZIIIIIIIIXZZIYIIIXIXY (-0.00167217449244857+0j)
IIIIIZIIIIIIIIIIYIIIYIIIXIXX (0.0013224887150711246+0j)
IIIIIZIIIIIIIIIIXZZIYIIIXIXY (-0.0013224887150711246+0j)
IIIIZZZIZIIIIIIIYIIIYIIIXIXX (0.0014556235847996933+0j)
IIIIZZZIZIIIIIIIXZZIYIIIXIXY (-0.0014556235847996933+0j)
IIIZIIIIIIIIIIIIYIIIYIIIXIXX (0.0005850792123704008+0j)
IIIZIIIIIIIIIIIIXZZIYIIIXIXY (-0.0005850792123704008+0j)
ZIXXIIIIIIIIIIIIYIIIYIIIXIXX (0.0022293609487875777+0j)
IZYYIIIIIIIIIIIIYIIIYIIIXIXX (0.0022293609487875777+0j)
ZIXXIIIIIIIIIIIIXZZIYIIIXIXY (-0.0022293609487875777+0j)
IZYYIIIIIIIIIIIIXZZIYIIIXIXY (-0.0022293609487875777+0j)
IIZZIIIIIIIIIIIIYIIIYIIIXIXX (-0.0003235136471204827+0j)
IIZZIIIIIIIIIIIIXZZIYIIIXIXY (0.0003235136471204827+0j)
IZIIIIIIIIIIIIIIYIIIYIIIXIXX (0.0016922341231097667+0j)
IZIIIIIIIIIIIIIIXZZIYIIIXIXY (-0.0016922341231097667+0j)
ZZZIIIIIIIIIIIIIYIIIYIIIXIXX (0.004299511621323883+0j)
ZZZIIIIIIIIIIIIIXZZIYIIIXIXY (-0.004299511621323883+0j)
IIIIXIXYZIIIYXYYIIIIXIIIXIXX (0.0018680343140312014+0j)
IIIIXIXXZIIIYYYYIIIIXIIIXIXX (-0.0018680343140312014+0j)
IIIIXIXYZIIIYXYXIIIIXIIIXIXY (-0.0018680343140312014+0j)
IIIIXIXXZIIIYYYXIIIIXIIIXIXY (0.0018680343140312014+0j)
XYZIZIIIIIIIYXYYIIIIXIIIXIXX (0.003616093161667912+0j)
XXZIZIIIIIIIYYYYIIIIXIIIXIXX (-0.003616093161667912+0j)
XYZIZIIIIIIIYXYXIIIIXIIIXIXY (-0.003616093161667912+0j)
XXZIZIIIIIIIYYYXIIIIXIIIXIXY (0.003616093161667912+0j)
IIIIXIIIXYZIYZYYIIIIXIIIXIXX (0.001969176311665925+0j)
IIIIXIIIXXZIXIXYZIIIYIIIXIXX (0.001969176311665925+0j)
IIIIXIIIXYZIYZYXIIIIXIIIXIXY (-0.001969176311665925+0j)
IIIIXIIIXXZIXIXXZIIIYIIIXIXY (-0.001969176311665925+0j)
IIIIYIIIIIIIYZYYIIIIXIIIXIXX (0.0027323629242969128+0j)
IIIIXZZIZIIIXIXYZIIIYIIIXIXX (0.0027323629242969128+0j)
IIIIYIIIIIIIYZYXIIIIXIIIXIXY (-0.0027323629242969128+0j)
IIIIXZZIZIIIXIXXZIIIYIIIXIXY (-0.0027323629242969128+0j)
IIIIIIXYYIXXIIXYZIIIYIIIXIXX (0.0024479388657551115+0j)
IIIIIIXXYIXYIIXYZIIIYIIIXIXX (-0.0024479388657551115+0j)
IIIIIIXYYIXXIIXXZIIIYIIIXIXY (-0.0024479388657551115+0j)
IIIIIIXXYIXYIIXXZIIIYIIIXIXY (0.0024479388657551115+0j)
XYZIYIIIXIXXIIXYZIIIYIIIXIXX (0.0026328599122034616+0j)
XXZIYIIIXIXYIIXYZIIIYIIIXIXX (-0.0026328599122034616+0j)
XYZIYIIIXIXXIIXXZIIIYIIIXIXY (-0.0026328599122034616+0j)
XXZIYIIIXIXYIIXXZIIIYIIIXIXY (0.0026328599122034616+0j)
IIIIIIIIIYYZIIXYZIIIYIIIXIXX (0.0024892151326051464+0j)
IIIIIIIIIXXIIIXYZIIIYIIIXIXX (0.0024892151326051464+0j)
IIIIIIIIIYYZIIXXZIIIYIIIXIXY (-0.0024892151326051464+0j)
IIIIIIIIIXXIIIXXZIIIYIIIXIXY (-0.0024892151326051464+0j)
IIIIZIIIXIXZIIXYZIIIYIIIXIXX (-0.0010746180444162411+0j)
IIIIIZZIYIYIIIXYZIIIYIIIXIXX (-0.0010746180444162411+0j)
IIIIZIIIXIXZIIXXZIIIYIIIXIXY (0.0010746180444162411+0j)
IIIIIZZIYIYIIIXXZIIIYIIIXIXY (0.0010746180444162411+0j)
XIXYYIIIXXZIIIXYZIIIYIIIXIXX (0.00108944444466849+0j)
XIXXYIIIXYZIIIXYZIIIYIIIXIXX (-0.00108944444466849+0j)
XIXYYIIIXXZIIIXXZIIIYIIIXIXY (-0.00108944444466849+0j)
XIXXYIIIXYZIIIXXZIIIYIIIXIXY (0.00108944444466849+0j)
YIIIYIIIXXZIIIXYZIIIYIIIXIXX (0.0015651211803878442+0j)
XZZIYIIIXYZIIIXYZIIIYIIIXIXX (-0.0015651211803878442+0j)
YIIIYIIIXXZIIIXXZIIIYIIIXIXY (-0.0015651211803878442+0j)
XZZIYIIIXYZIIIXXZIIIYIIIXIXY (0.0015651211803878442+0j)
IIIIIIXYYZZIIIXYZIIIYIIIXIXX (0.0008929642744187111+0j)
IIIIIIXXXIIIIIXYZIIIYIIIXIXX (0.0008929642744187111+0j)
IIIIIIXYYZZIIIXXZIIIYIIIXIXY (-0.0008929642744187111+0j)
IIIIIIXXXIIIIIXXZIIIYIIIXIXY (-0.0008929642744187111+0j)
XYZIYIIIXZZIIIXYZIIIYIIIXIXX (-0.00046765113753982103+0j)
XXZIYIIIYIIIIIXYZIIIYIIIXIXX (0.00046765113753982103+0j)
XYZIYIIIXZZIIIXXZIIIYIIIXIXY (0.00046765113753982103+0j)
XXZIYIIIYIIIIIXXZIIIYIIIXIXY (-0.00046765113753982103+0j)
XIYIYIXXZIIIIIXYZIIIYIIIXIXX (0.0004745447939719355+0j)
XIXZYIXYZIIIIIXYZIIIYIIIXIXX (-0.0004745447939719355+0j)
XIYIYIXXZIIIIIXXZIIIYIIIXIXY (-0.0004745447939719355+0j)
XIXZYIXYZIIIIIXXZIIIYIIIXIXY (0.0004745447939719355+0j)
XIXYYZZIZIIIIIXYZIIIYIIIXIXX (0.002447928307418633+0j)
XIXXXIIIIIIIIIXYZIIIYIIIXIXX (0.002447928307418633+0j)
XIXYYZZIZIIIIIXXZIIIYIIIXIXY (-0.002447928307418633+0j)
XIXXXIIIIIIIIIXXZIIIYIIIXIXY (-0.002447928307418633+0j)
YIIIYZZIZIIIIIXYZIIIYIIIXIXX (0.0018598274486220433+0j)
XZZIXIIIIIIIIIXYZIIIYIIIXIXX (0.0018598274486220433+0j)
YIIIYZZIZIIIIIXXZIIIYIIIXIXY (-0.0018598274486220433+0j)
XZZIXIIIIIIIIIXXZIIIYIIIXIXY (-0.0018598274486220433+0j)
IYYZIIIIIIIIIIXYZIIIYIIIXIXX (0.002099711295473708+0j)
IXXIIIIIIIIIIIXYZIIIYIIIXIXX (0.002099711295473708+0j)
IYYZIIIIIIIIIIXXZIIIYIIIXIXY (-0.002099711295473708+0j)
IXXIIIIIIIIIIIXXZIIIYIIIXIXY (-0.002099711295473708+0j)
IIIIIIIIIIIIZXXIIIIIXIIIXIXX (-0.02743313941977437+0j)
IIIIIIIIIIIIIXYIZIIIYIIIXIXX (-0.02743313941977437+0j)
IIIIIIIIIIIIZXYZIIIIXIIIXIXY (-0.02743313941977437+0j)
IIIIIIIIIIIIIXXZZIIIYIIIXIXY (0.02743313941977437+0j)
IIIIXIIIXIYIYXXIIIIIXIIIXIXX (-0.001830768924985267+0j)
IIIIXIIIXIXZYYXIIIIIXIIIXIXX (0.001830768924985267+0j)
IIIIXIIIXIYIYXYZIIIIXIIIXIXY (-0.001830768924985267+0j)
IIIIXIIIXIXZYYYZIIIIXIIIXIXY (0.001830768924985267+0j)
XIXYZIIIIIIIYXXIIIIIXIIIXIXX (-0.0028457755036875414+0j)
XIXXZIIIIIIIYYXIIIIIXIIIXIXX (0.0028457755036875414+0j)
XIXYZIIIIIIIYXYZIIIIXIIIXIXY (-0.0028457755036875414+0j)
XIXXZIIIIIIIYYYZIIIIXIIIXIXY (0.0028457755036875414+0j)
YIIIZIIIIIIIYXXIIIIIXIIIXIXX (-0.00734612719936903+0j)
XZZIZIIIIIIIYYXIIIIIXIIIXIXX (0.00734612719936903+0j)
YIIIZIIIIIIIYXYZIIIIXIIIXIXY (-0.00734612719936903+0j)
XZZIZIIIIIIIYYYZIIIIXIIIXIXY (0.00734612719936903+0j)
IIIIXIIIXIXYYZXIIIIIXIIIXIXX (-0.004656251420832063+0j)
IIIIXIIIXIXXXIYIZIIIYIIIXIXX (0.004656251420832063+0j)
IIIIXIIIXIXYYZYZIIIIXIIIXIXY (-0.004656251420832063+0j)
IIIIXIIIXIXXXIXZZIIIYIIIXIXY (-0.004656251420832063+0j)
IIIIXIIIYIIIYZXIIIIIXIIIXIXX (0.0031836762660587647+0j)
IIIIXIIIXZZIXIYIZIIIYIIIXIXX (-0.0031836762660587647+0j)
IIIIXIIIYIIIYZYZIIIIXIIIXIXY (0.0031836762660587647+0j)
IIIIXIIIXZZIXIXZZIIIYIIIXIXY (0.0031836762660587647+0j)
XIYIZIIIIIIIYZXIIIIIXIIIXIXX (-0.0003325506414588951+0j)
XIXZZIIIIIIIXIYIZIIIYIIIXIXX (0.0003325506414588951+0j)
XIYIZIIIIIIIYZYZIIIIXIIIXIXY (-0.0003325506414588951+0j)
XIXZZIIIIIIIXIXZZIIIYIIIXIXY (-0.0003325506414588951+0j)
IIIIIIIIIIZXIIYIZIIIYIIIXIXX (0.002655074505439698+0j)
IIIIIIIIIIIXIIYIZIIIYIIIXIXX (-0.002655074505439698+0j)
IIIIIIIIIIZXIIXZZIIIYIIIXIXY (-0.002655074505439698+0j)
IIIIIIIIIIIXIIXZZIIIYIIIXIXY (0.002655074505439698+0j)
XIXYYIIIXIXXIIYIZIIIYIIIXIXX (-0.0012584553241761062+0j)
XIXXYIIIXIXYIIYIZIIIYIIIXIXX (0.0012584553241761062+0j)
XIXYYIIIXIXXIIXZZIIIYIIIXIXY (0.0012584553241761062+0j)
XIXXYIIIXIXYIIXZZIIIYIIIXIXY (-0.0012584553241761062+0j)
YIIIYIIIXIXXIIYIZIIIYIIIXIXX (0.002187499852397992+0j)
XZZIYIIIXIXYIIYIZIIIYIIIXIXX (-0.002187499852397992+0j)
YIIIYIIIXIXXIIXZZIIIYIIIXIXY (-0.002187499852397992+0j)
XZZIYIIIXIXYIIXZZIIIYIIIXIXY (0.002187499852397992+0j)
IIIIIIIIZIXZIIYIZIIIYIIIXIXX (0.003693720945872892+0j)
IIIIIIIIIZXIIIYIZIIIYIIIXIXX (-0.003693720945872892+0j)
IIIIIIIIZIXZIIXZZIIIYIIIXIXY (-0.003693720945872892+0j)
IIIIIIIIIZXIIIXZZIIIYIIIXIXY (0.003693720945872892+0j)
XIYIYIIIXIXZIIYIZIIIYIIIXIXX (-0.003032302093178805+0j)
XIXZYIIIXIYIIIYIZIIIYIIIXIXX (0.003032302093178805+0j)
XIYIYIIIXIXZIIXZZIIIYIIIXIXY (0.003032302093178805+0j)
XIXZYIIIXIYIIIXZZIIIYIIIXIXY (-0.003032302093178805+0j)
IIIIIIXYYXZIIIYIZIIIYIIIXIXX (-0.0020742842597188463+0j)
IIIIIIXXYYZIIIYIZIIIYIIIXIXX (0.0020742842597188463+0j)
IIIIIIXYYXZIIIXZZIIIYIIIXIXY (0.0020742842597188463+0j)
IIIIIIXXYYZIIIXZZIIIYIIIXIXY (-0.0020742842597188463+0j)
XYZIYIIIXXZIIIYIZIIIYIIIXIXX (-0.0004933275785622302+0j)
XXZIYIIIXYZIIIYIZIIIYIIIXIXX (0.0004933275785622302+0j)
XYZIYIIIXXZIIIXZZIIIYIIIXIXY (0.0004933275785622302+0j)
XXZIYIIIXYZIIIXZZIIIYIIIXIXY (-0.0004933275785622302+0j)
XIXYYIIIXZZIIIYIZIIIYIIIXIXX (-0.002016741213844318+0j)
XIXXYIIIYIIIIIYIZIIIYIIIXIXX (0.002016741213844318+0j)
XIXYYIIIXZZIIIXZZIIIYIIIXIXY (0.002016741213844318+0j)
XIXXYIIIYIIIIIXZZIIIYIIIXIXY (-0.002016741213844318+0j)
YIIIYIIIXZZIIIYIZIIIYIIIXIXX (0.001015651607093223+0j)
XZZIYIIIYIIIIIYIZIIIYIIIXIXX (-0.001015651607093223+0j)
YIIIYIIIXZZIIIXZZIIIYIIIXIXY (-0.001015651607093223+0j)
XZZIYIIIYIIIIIXZZIIIYIIIXIXY (0.001015651607093223+0j)
IIIIZIXXZIIIIIYIZIIIYIIIXIXX (-0.00023456120106723648+0j)
IIIIIZYYIIIIIIYIZIIIYIIIXIXX (-0.00023456120106723648+0j)
IIIIZIXXZIIIIIXZZIIIYIIIXIXY (0.00023456120106723648+0j)
IIIIIZYYIIIIIIXZZIIIYIIIXIXY (0.00023456120106723648+0j)
IIIIIYYZIIIIIIYIZIIIYIIIXIXX (0.002147192034692458+0j)
IIIIIXXIIIIIIIYIZIIIYIIIXIXX (0.002147192034692458+0j)
IIIIIYYZIIIIIIXZZIIIYIIIXIXY (-0.002147192034692458+0j)
IIIIIXXIIIIIIIXZZIIIYIIIXIXY (-0.002147192034692458+0j)
XYZIYZZIZIIIIIYIZIIIYIIIXIXX (-0.001657057333847352+0j)
XXZIXIIIIIIIIIYIZIIIYIIIXIXX (-0.001657057333847352+0j)
XYZIYZZIZIIIIIXZZIIIYIIIXIXY (0.001657057333847352+0j)
XXZIXIIIIIIIIIXZZIIIYIIIXIXY (0.001657057333847352+0j)
IIZXIIIIIIIIIIYIZIIIYIIIXIXX (0.004431792843530158+0j)
IIIXIIIIIIIIIIYIZIIIYIIIXIXX (-0.004431792843530158+0j)
IIZXIIIIIIIIIIXZZIIIYIIIXIXY (-0.004431792843530158+0j)
IIIXIIIIIIIIIIXZZIIIYIIIXIXY (0.004431792843530158+0j)
ZIXZIIIIIIIIIIYIZIIIYIIIXIXX (-0.0026127203056988293+0j)
IZXIIIIIIIIIIIYIZIIIYIIIXIXX (0.0026127203056988293+0j)
ZIXZIIIIIIIIIIXZZIIIYIIIXIXY (0.0026127203056988293+0j)
IZXIIIIIIIIIIIXZZIIIYIIIXIXY (-0.0026127203056988293+0j)
IIIIIIIIIIIIIIIIIIIIIIIIIZZZ (0.1448721819326189+0j)
IIIIIIIIIIIIIIIIIIIIIIYIYXIZ (0.026671895850177194+0j)
IIIIIIIIIIIIIIIIIIIIIIXZYYIZ (-0.026671895850177194+0j)
IIIIIIIIIIIIIIIIYIIIYIIIXXIZ (-0.017904184090453783+0j)
IIIIIIIIIIIIIIIIXZZIYIIIXYIZ (0.017904184090453783+0j)
IIIIIIIIIIIIIIIIIIIIIIIIZZIZ (0.1171798958118689+0j)
IIIIIIIIIIIIIIIIXYZIYIIIXZIZ (-0.03425380510421564+0j)
IIIIIIIIIIIIIIIIXXZIYIIIYIZZ (0.03425380510421564+0j)
IIIIIIIIIIIIIIYIZIIIYIIIXZIZ (0.001396385286675071+0j)
IIIIIIIIIIIIIIXZZIIIYIIIYIZZ (-0.001396385286675071+0j)
IIIIIIIIIIIIIIIIIIIIIIIZIIZZ (0.11871608803610786+0j)
IIIIIIIIIIIIIIIIXIYIYIXXZIZZ (-0.03821976426456909+0j)
