Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIII (-51.161025573776655+0j)
YIIIIIIIYIXZZIIIZIYIYIXZ (0.0037420844208041174+0j)
XZZIZIIIYIYIZIIIZIYIYIXZ (-0.0037420844208041174+0j)
YIIIIIIIYIXZZIIIZIXZYIYI (-0.0037420844208041174+0j)
XZZIZIIIYIYIZIIIZIXZYIYI (0.0037420844208041174+0j)
IIIIIIIIZXZIZIIIZIYIYIXZ (-0.012309290442687675+0j)
IIIIIIIIIXIIIIIIIIYIYIXZ (0.012309290442687675+0j)
IIIIIIIIZXZIZIIIZIXZYIYI (0.012309290442687675+0j)
IIIIIIIIIXIIIIIIIIXZYIYI (-0.012309290442687675+0j)
XIXYZIIIYXZIZIIIZIYIYIXZ (-0.0026466510347133566+0j)
XIXXZIIIYYZIZIIIZIYIYIXZ (0.0026466510347133566+0j)
XIXYZIIIYXZIZIIIZIXZYIYI (0.0026466510347133566+0j)
XIXXZIIIYYZIZIIIZIXZYIYI (-0.0026466510347133566+0j)
XIYIZIIIYZZIZIIIZIYIYIXZ (0.003266015002808165+0j)
XIXZZIIIXIIIIIIIIIYIYIXZ (0.003266015002808165+0j)
XIYIZIIIYZZIZIIIZIXZYIYI (-0.003266015002808165+0j)
XIXZZIIIXIIIIIIIIIXZYIYI (-0.003266015002808165+0j)
IIIIIIZXIIIIIIIIIIYIYIXZ (-0.008080489946345996+0j)
IIIIIIIXIIIIIIIIIIYIYIXZ (0.008080489946345996+0j)
IIIIIIZXIIIIIIIIIIXZYIYI (0.008080489946345996+0j)
IIIIIIIXIIIIIIIIIIXZYIYI (-0.008080489946345996+0j)
ZIIIXIXXIIIIIIIIIIYIYIXZ (0.004213531124108849+0j)
IZZIYIXYIIIIIIIIIIYIYIXZ (0.004213531124108849+0j)
ZIIIXIXXIIIIIIIIIIXZYIYI (-0.004213531124108849+0j)
IZZIYIXYIIIIIIIIIIXZYIYI (-0.004213531124108849+0j)
IYZIYIXZIIIIIIIIIIYIYIXZ (-0.005527743821371118+0j)
IXZIYIYIIIIIIIIIIIYIYIXZ (0.005527743821371118+0j)
IYZIYIXZIIIIIIIIIIXZYIYI (0.005527743821371118+0j)
IXZIYIYIIIIIIIIIIIXZYIYI (-0.005527743821371118+0j)
IIZXIIIIIIIIIIIIIIYIYIXZ (0.011745937223084271+0j)
IIIXIIIIIIIIIIIIIIYIYIXZ (-0.011745937223084271+0j)
IIZXIIIIIIIIIIIIIIXZYIYI (-0.011745937223084271+0j)
IIIXIIIIIIIIIIIIIIXZYIYI (0.011745937223084271+0j)
ZXZIZIIIIIIIIIIIIIYIYIXZ (-0.009814882049530559+0j)
IXIIIIIIIIIIIIIIIIYIYIXZ (0.009814882049530559+0j)
ZXZIZIIIIIIIIIIIIIXZYIYI (0.009814882049530559+0j)
IXIIIIIIIIIIIIIIIIXZYIYI (-0.009814882049530559+0j)
IIIIIIIIIIIIXYZIYZIIXIXZ (-0.0035237983640639143+0j)
IIIIIIIIIIIIXXZIYZIIXIYI (0.0035237983640639143+0j)
IIIIIIIIIIIIXIYIYXIIXIXZ (-0.002377316788719391+0j)
IIIIIIIIIIIIXIXZXYZIYIXZ (-0.004488220508663208+0j)
IIIIIIIIIIIIXIYIXXZIYIXZ (0.0068655372973826+0j)
IIIIIIIIIIIIXIXZYXIIXIYI (0.0068655372973826+0j)
IIIIIIIIIIIIXIYIYYIIXIYI (0.004488220508663208+0j)
IIIIIIIIIIIIXIXZXXZIYIYI (-0.002377316788719391+0j)
XIIIYIIIYIXXZIIIZYZIYIXZ (0.004181381547969209+0j)
XIIIXZZIYIXYZIIIZYZIYIXZ (-0.004181381547969209+0j)
XIIIYIIIYIXXZIIIZXZIYIYI (-0.004181381547969209+0j)
XIIIXZZIYIXYZIIIZXZIYIYI (0.004181381547969209+0j)
XIIIXYZIYIXZZIIIZYZIYIXZ (0.019749527470639128+0j)
XIIIXXZIYIYIZIIIZYZIYIXZ (-0.019749527470639128+0j)
XIIIXYZIYIXZZIIIZXZIYIYI (-0.019749527470639128+0j)
XIIIXXZIYIYIZIIIZXZIYIYI (0.019749527470639128+0j)
XIIIYIIIYXZIZIIIZYZIYIXZ (0.012728038131836737+0j)
XIIIXZZIYYZIZIIIZYZIYIXZ (-0.012728038131836737+0j)
XIIIYIIIYXZIZIIIZXZIYIYI (-0.012728038131836737+0j)
XIIIXZZIYYZIZIIIZXZIYIYI (0.012728038131836737+0j)
IIIIIYYXIIIIIIIIIYZIYIXZ (-0.0044995461338991636+0j)
IIIIIXYYIIIIIIIIIYZIYIXZ (0.0044995461338991636+0j)
IIIIIYYXIIIIIIIIIXZIYIYI (0.0044995461338991636+0j)
IIIIIXYYIIIIIIIIIXZIYIYI (-0.0044995461338991636+0j)
IYZIYXZIIIIIIIIIIYZIYIXZ (0.007845365717582486+0j)
IXZIYYZIIIIIIIIIIYZIYIXZ (-0.007845365717582486+0j)
IYZIYXZIIIIIIIIIIXZIYIYI (-0.007845365717582486+0j)
IXZIYYZIIIIIIIIIIXZIYIYI (0.007845365717582486+0j)
IIYIYZZIIIIIIIIIIYZIYIXZ (-0.012957346371399763+0j)
IIXZXIIIIIIIIIIIIYZIYIXZ (-0.012957346371399763+0j)
IIYIYZZIIIIIIIIIIXZIYIYI (0.012957346371399763+0j)
IIXZXIIIIIIIIIIIIXZIYIYI (0.012957346371399763+0j)
IIIIIIIIIIIIXYZIXZZIYIXZ (-0.005991160713050466+0j)
IIIIIIIIIIIIXXZIXZZIYIYI (0.005991160713050466+0j)
XIIIXYZIYIXXZIIIIIIIXIXZ (-0.0028029726330266605+0j)
XIIIXXZIYIXYZIIIIIIIXIXZ (0.0028029726330266605+0j)
XIIIXYZIYIXXZIIIZZZIYIYI (-0.0028029726330266605+0j)
XIIIXXZIYIXYZIIIZZZIYIYI (0.0028029726330266605+0j)
XIIIYIIIYIXZZIIIIIIIXIXZ (-0.01063738143189124+0j)
XIIIXZZIYIYIZIIIIIIIXIXZ (0.01063738143189124+0j)
XIIIYIIIYIXZZIIIZZZIYIYI (-0.01063738143189124+0j)
XIIIXZZIYIYIZIIIZZZIYIYI (0.01063738143189124+0j)
XIIIXYZIYXZIZIIIIIIIXIXZ (-0.008289917882462595+0j)
XIIIXXZIYYZIZIIIIIIIXIXZ (0.008289917882462595+0j)
XIIIXYZIYXZIZIIIZZZIYIYI (-0.008289917882462595+0j)
XIIIXXZIYYZIZIIIZZZIYIYI (0.008289917882462595+0j)
IIIIZIXXIIIIIIIIZIIIXIXZ (0.0012843960498023358+0j)
IIIIIZYYIIIIIIIIZIIIXIXZ (0.0012843960498023358+0j)
IIIIZIXXIIIIIIIIIZZIYIYI (0.0012843960498023358+0j)
IIIIIZYYIIIIIIIIIZZIYIYI (0.0012843960498023358+0j)
IIYIYXZIIIIIIIIIZIIIXIXZ (0.008469125862736555+0j)
IIXZYYZIIIIIIIIIZIIIXIXZ (-0.008469125862736555+0j)
IIYIYXZIIIIIIIIIIZZIYIYI (0.008469125862736555+0j)
IIXZYYZIIIIIIIIIIZZIYIYI (-0.008469125862736555+0j)
IYZIYZZIIIIIIIIIZIIIXIXZ (-0.007260111401187159+0j)
IXZIXIIIIIIIIIIIZIIIXIXZ (-0.007260111401187159+0j)
IYZIYZZIIIIIIIIIIZZIYIYI (-0.007260111401187159+0j)
IXZIXIIIIIIIIIIIIZZIYIYI (-0.007260111401187159+0j)
IIIIIIIIIIIIXYZZYIIIXIXZ (-0.004018302699758839+0j)
IIIIIIIIIIIIXXZZYIIIXIYI (0.004018302699758839+0j)
IIIIIIIIIIIIYIIXYIIIXIXZ (0.0011790172275935684+0j)
IIIIIIIIIIIIXZIYYIIIXIXZ (0.004816517159658695+0j)
IIIIIIIIIIIIYIZXYIIIXIXZ (-0.0059955343872522635+0j)
IIIIIIIIIIIIXZZXYIIIXIYI (-0.0059955343872522635+0j)
IIIIIIIIIIIIYIIYYIIIXIYI (-0.004816517159658695+0j)
IIIIIIIIIIIIXZIXYIIIXIYI (0.0011790172275935684+0j)
XIIIXIYIYIXXYIXYXIIIXIXZ (0.0014605189167073316+0j)
XIIIXIXZYIXYYIXYXIIIXIXZ (-0.0014605189167073316+0j)
XIIIXIYIYIXXYIXXXIIIXIYI (-0.0014605189167073316+0j)
XIIIXIXZYIXYYIXXXIIIXIYI (0.0014605189167073316+0j)
YIIIIIIIYIXXYIXYXIIIXIXZ (0.002680633786669083+0j)
XZZIZIIIYIXYYIXYXIIIXIXZ (-0.002680633786669083+0j)
YIIIIIIIYIXXYIXXXIIIXIYI (-0.002680633786669083+0j)
XZZIZIIIYIXYYIXXXIIIXIYI (0.002680633786669083+0j)
IIIIIIIIZIXZYIXYXIIIXIXZ (-0.0074083377860866915+0j)
IIIIIIIIIZXIXIXYYIIIXIXZ (0.0074083377860866915+0j)
IIIIIIIIZIXZYIXXXIIIXIYI (0.0074083377860866915+0j)
IIIIIIIIIZXIXIXXYIIIXIYI (-0.0074083377860866915+0j)
XIXYZIIIYIXZYIXYXIIIXIXZ (0.009390569903513571+0j)
XIXXZIIIYIYIYIXYXIIIXIXZ (-0.009390569903513571+0j)
XIXYZIIIYIXZYIXXXIIIXIYI (-0.009390569903513571+0j)
XIXXZIIIYIYIYIXXXIIIXIYI (0.009390569903513571+0j)
XIIIXIYIYXZIYIXYXIIIXIXZ (0.001954615533650439+0j)
XIIIXIXZYYZIYIXYXIIIXIXZ (-0.001954615533650439+0j)
XIIIXIYIYXZIYIXXXIIIXIYI (-0.001954615533650439+0j)
XIIIXIXZYYZIYIXXXIIIXIYI (0.001954615533650439+0j)
YIIIIIIIYXZIYIXYXIIIXIXZ (0.0060206368386538645+0j)
XZZIZIIIYYZIYIXYXIIIXIXZ (-0.0060206368386538645+0j)
YIIIIIIIYXZIYIXXXIIIXIYI (-0.0060206368386538645+0j)
XZZIZIIIYYZIYIXXXIIIXIYI (0.0060206368386538645+0j)
XIIIXIXYYZZIYIXYXIIIXIXZ (-0.004044722997880424+0j)
XIIIXIXXXIIIXIXYYIIIXIXZ (-0.004044722997880424+0j)
XIIIXIXYYZZIYIXXXIIIXIYI (0.004044722997880424+0j)
XIIIXIXXXIIIXIXXYIIIXIYI (0.004044722997880424+0j)
XYZIZIIIYZZIYIXYXIIIXIXZ (0.002858023492640786+0j)
XXZIZIIIXIIIXIXYYIIIXIXZ (0.002858023492640786+0j)
XYZIZIIIYZZIYIXXXIIIXIYI (-0.002858023492640786+0j)
XXZIZIIIXIIIXIXXYIIIXIYI (-0.002858023492640786+0j)
IIXYYIXXIIIIXIXYYIIIXIXZ (-0.0025081525652315834+0j)
IIXXYIXYIIIIXIXYYIIIXIXZ (0.0025081525652315834+0j)
IIXYYIXXIIIIXIXXYIIIXIYI (0.0025081525652315834+0j)
IIXXYIXYIIIIXIXXYIIIXIYI (-0.0025081525652315834+0j)
IIYIYIXZIIIIXIXYYIIIXIXZ (-0.005314241217798865+0j)
IIXZYIYIIIIIXIXYYIIIXIXZ (0.005314241217798865+0j)
IIYIYIXZIIIIXIXXYIIIXIYI (0.005314241217798865+0j)
IIXZYIYIIIIIXIXXYIIIXIYI (-0.005314241217798865+0j)
IYYXIIIIIIIIXIXYYIIIXIXZ (-0.0013424024600021398+0j)
IXYYIIIIIIIIXIXYYIIIXIXZ (0.0013424024600021398+0j)
IYYXIIIIIIIIXIXXYIIIXIYI (0.0013424024600021398+0j)
IXYYIIIIIIIIXIXXYIIIXIYI (-0.0013424024600021398+0j)
ZIXZZIIIIIIIXIXYYIIIXIXZ (0.0023435863096328163+0j)
IZXIIIIIIIIIXIXYYIIIXIXZ (-0.0023435863096328163+0j)
ZIXZZIIIIIIIXIXXYIIIXIYI (-0.0023435863096328163+0j)
IZXIIIIIIIIIXIXXYIIIXIYI (0.0023435863096328163+0j)
IIIIIIIIIIIIXYIZYIIIXIXZ (0.0009816777521164857+0j)
IIIIIIIIIIIIXXIZYIIIXIYI (-0.0009816777521164857+0j)
IIIIIIIIIIZXXIYIYIIIXIXZ (-0.0016311410890002822+0j)
IIIIIIIIIIIXXIYIYIIIXIXZ (0.0016311410890002822+0j)
IIIIIIIIIIZXXIXZYIIIXIYI (0.0016311410890002822+0j)
IIIIIIIIIIIXXIXZYIIIXIYI (-0.0016311410890002822+0j)
XIIIXIXYYIXXYIYIXIIIXIXZ (-0.0004302590471735355+0j)
XIIIXIXXYIXYYIYIXIIIXIXZ (0.0004302590471735355+0j)
XIIIXIXYYIXXYIXZXIIIXIYI (0.0004302590471735355+0j)
XIIIXIXXYIXYYIXZXIIIXIYI (-0.0004302590471735355+0j)
XYZIZIIIYIXXYIYIXIIIXIXZ (0.0007585043965696618+0j)
XXZIZIIIYIXYYIYIXIIIXIXZ (-0.0007585043965696618+0j)
XYZIZIIIYIXXYIXZXIIIXIYI (-0.0007585043965696618+0j)
XXZIZIIIYIXYYIXZXIIIXIYI (0.0007585043965696618+0j)
IIIIIIIIIYYZXIYIYIIIXIXZ (-0.007212513975653761+0j)
IIIIIIIIIXXIXIYIYIIIXIXZ (-0.007212513975653761+0j)
IIIIIIIIIYYZXIXZYIIIXIYI (0.007212513975653761+0j)
IIIIIIIIIXXIXIXZYIIIXIYI (0.007212513975653761+0j)
XIYIZIIIYIXZYIYIXIIIXIXZ (0.008769232528546458+0j)
XIXZZIIIYIYIYIYIXIIIXIXZ (-0.008769232528546458+0j)
XIYIZIIIYIXZYIXZXIIIXIYI (-0.008769232528546458+0j)
XIXZZIIIYIYIYIXZXIIIXIYI (0.008769232528546458+0j)
XIIIXIXYYXZIYIYIXIIIXIXZ (-0.004396883272269301+0j)
XIIIXIXXYYZIYIYIXIIIXIXZ (0.004396883272269301+0j)
XIIIXIXYYXZIYIXZXIIIXIYI (0.004396883272269301+0j)
XIIIXIXXYYZIYIXZXIIIXIYI (-0.004396883272269301+0j)
XYZIZIIIYXZIYIYIXIIIXIXZ (-0.009454161583406341+0j)
XXZIZIIIYYZIYIYIXIIIXIXZ (0.009454161583406341+0j)
XYZIZIIIYXZIYIXZXIIIXIYI (0.009454161583406341+0j)
XXZIZIIIYYZIYIXZXIIIXIYI (-0.009454161583406341+0j)
XIIIXIYIYZZIYIYIXIIIXIXZ (-0.005212496991135284+0j)
XIIIXIXZXIIIXIYIYIIIXIXZ (-0.005212496991135284+0j)
XIIIXIYIYZZIYIXZXIIIXIYI (0.005212496991135284+0j)
XIIIXIXZXIIIXIXZYIIIXIYI (0.005212496991135284+0j)
YIIIIIIIYZZIYIYIXIIIXIXZ (-0.009532974241569849+0j)
XZZIZIIIXIIIXIYIYIIIXIXZ (-0.009532974241569849+0j)
YIIIIIIIYZZIYIXZXIIIXIYI (0.009532974241569849+0j)
XZZIZIIIXIIIXIXZYIIIXIYI (0.009532974241569849+0j)
IIYIYIXXIIIIXIYIYIIIXIXZ (0.0036616041078724464+0j)
IIXZYIXYIIIIXIYIYIIIXIXZ (-0.0036616041078724464+0j)
IIYIYIXXIIIIXIXZYIIIXIYI (-0.0036616041078724464+0j)
IIXZYIXYIIIIXIXZYIIIXIYI (0.0036616041078724464+0j)
IIXYYIXZIIIIXIYIYIIIXIXZ (-0.007299831789335547+0j)
IIXXYIYIIIIIXIYIYIIIXIXZ (0.007299831789335547+0j)
IIXYYIXZIIIIXIXZYIIIXIYI (0.007299831789335547+0j)
IIXXYIYIIIIIXIXZYIIIXIYI (-0.007299831789335547+0j)
IIIIZXZIIIIIXIYIYIIIXIXZ (0.015334663160119152+0j)
IIIIIXIIIIIIXIYIYIIIXIXZ (-0.015334663160119152+0j)
IIIIZXZIIIIIXIXZYIIIXIYI (-0.015334663160119152+0j)
IIIIIXIIIIIIXIXZYIIIXIYI (0.015334663160119152+0j)
ZIXXZIIIIIIIXIYIYIIIXIXZ (0.007160103469291511+0j)
IZYYIIIIIIIIXIYIYIIIXIXZ (0.007160103469291511+0j)
ZIXXZIIIIIIIXIXZYIIIXIYI (-0.007160103469291511+0j)
IZYYIIIIIIIIXIXZYIIIXIYI (-0.007160103469291511+0j)
IYYZIIIIIIIIXIYIYIIIXIXZ (0.0056399736046028265+0j)
IXXIIIIIIIIIXIYIYIIIXIXZ (0.0056399736046028265+0j)
IYYZIIIIIIIIXIXZYIIIXIYI (-0.0056399736046028265+0j)
IXXIIIIIIIIIXIXZYIIIXIYI (-0.0056399736046028265+0j)
IIIIIIIIIIIIYXIIYIIIXIXZ (-0.005508086328439913+0j)
IIIIIIIIIIIIYYIIYIIIXIYI (-0.005508086328439913+0j)
IIIIIIIIIIIZXYZIYIIIXIXZ (-0.02187054964743634+0j)
IIIIIIIIIIIZXXZIYIIIXIYI (0.02187054964743634+0j)
IIIIIIIIIYYXXYZIYIIIXIXZ (-0.00038221431062404257+0j)
IIIIIIIIIXYYXYZIYIIIXIXZ (0.00038221431062404257+0j)
IIIIIIIIIYYXXXZIYIIIXIYI (0.00038221431062404257+0j)
IIIIIIIIIXYYXXZIYIIIXIYI (-0.00038221431062404257+0j)
XIYIZIIIYIXXYYZIXIIIXIXZ (0.0006143943515254257+0j)
XIXZZIIIYIXYYYZIXIIIXIXZ (-0.0006143943515254257+0j)
XIYIZIIIYIXXYXZIXIIIXIYI (-0.0006143943515254257+0j)
XIXZZIIIYIXYYXZIXIIIXIYI (0.0006143943515254257+0j)
IIIIIIIIIIZZXYZIYIIIXIXZ (-0.007208872425488215+0j)
IIIIIIIIIIZZXXZIYIIIXIYI (0.007208872425488215+0j)
XIIIXIXYYIXZYYZIXIIIXIXZ (7.791691023789812e-05+0j)
XIIIXIXXYIYIYYZIXIIIXIXZ (-7.791691023789812e-05+0j)
XIIIXIXYYIXZYXZIXIIIXIYI (-7.791691023789812e-05+0j)
XIIIXIXXYIYIYXZIXIIIXIYI (7.791691023789812e-05+0j)
XYZIZIIIYIXZYYZIXIIIXIXZ (0.005603375623023286+0j)
XXZIZIIIYIYIYYZIXIIIXIXZ (-0.005603375623023286+0j)
XYZIZIIIYIXZYXZIXIIIXIYI (-0.005603375623023286+0j)
XXZIZIIIYIYIYXZIXIIIXIYI (0.005603375623023286+0j)
IIIIIIIIIZIIXYZIYIIIXIXZ (-0.007454562072135191+0j)
IIIIIIIIIZIIXXZIYIIIXIYI (0.007454562072135191+0j)
XIYIZIIIYXZIYYZIXIIIXIXZ (-0.008271919472754742+0j)
XIXZZIIIYYZIYYZIXIIIXIXZ (0.008271919472754742+0j)
XIYIZIIIYXZIYXZIXIIIXIYI (0.008271919472754742+0j)
XIXZZIIIYYZIYXZIXIIIXIYI (-0.008271919472754742+0j)
IIIIIIIIZZZIYYZIXIIIXIXZ (-0.003800830500814409+0j)
IIIIIIIIZZZIYXZIXIIIXIYI (0.003800830500814409+0j)
XIXYZIIIYZZIYYZIXIIIXIXZ (0.005775229773807523+0j)
XIXXZIIIXIIIXYZIYIIIXIXZ (0.005775229773807523+0j)
XIXYZIIIYZZIYXZIXIIIXIYI (-0.005775229773807523+0j)
XIXXZIIIXIIIXXZIYIIIXIYI (-0.005775229773807523+0j)
IIIIIIIZIIIIXYZIYIIIXIXZ (-0.006786827905994936+0j)
IIIIIIIZIIIIXXZIYIIIXIYI (0.006786827905994936+0j)
IYZIYIXXIIIIXYZIYIIIXIXZ (0.006838610757082406+0j)
IXZIYIXYIIIIXYZIYIIIXIXZ (-0.006838610757082406+0j)
IYZIYIXXIIIIXXZIYIIIXIYI (-0.006838610757082406+0j)
IXZIYIXYIIIIXXZIYIIIXIYI (0.006838610757082406+0j)
IIIIIIZZIIIIXYZIYIIIXIXZ (-0.002751383644627282+0j)
IIIIIIZZIIIIXXZIYIIIXIYI (0.002751383644627282+0j)
ZIIIXIXZIIIIXYZIYIIIXIXZ (-0.006837749974217439+0j)
IZZIYIYIIIIIXYZIYIIIXIXZ (-0.006837749974217439+0j)
ZIIIXIXZIIIIXXZIYIIIXIYI (0.006837749974217439+0j)
IZZIYIYIIIIIXXZIYIIIXIYI (0.006837749974217439+0j)
IIIIIZIIIIIIXYZIYIIIXIXZ (-0.0113691640816464+0j)
IIIIIZIIIIIIXXZIYIIIXIYI (0.0113691640816464+0j)
IIIIZZZIIIIIXYZIYIIIXIXZ (-0.013251272114237624+0j)
IIIIZZZIIIIIXXZIYIIIXIYI (0.013251272114237624+0j)
IIIZIIIIIIIIXYZIYIIIXIXZ (-0.0026759002397566995+0j)
IIIZIIIIIIIIXXZIYIIIXIYI (0.0026759002397566995+0j)
IIZZIIIIIIIIXYZIYIIIXIXZ (-0.004658295852486342+0j)
IIZZIIIIIIIIXXZIYIIIXIYI (0.004658295852486342+0j)
IZIIIIIIIIIIXYZIYIIIXIXZ (-0.005690780067542666+0j)
IZIIIIIIIIIIXXZIYIIIXIYI (0.005690780067542666+0j)
ZZZIZIIIIIIIXYZIYIIIXIXZ (-0.006036718272364447+0j)
ZZZIZIIIIIIIXXZIYIIIXIYI (0.006036718272364447+0j)
IIIIIIIIZIXXXIIIXIIIXIXZ (0.0015580343652544187+0j)
IIIIIIIIIZYYYIIIYIIIXIXZ (-0.0015580343652544187+0j)
IIIIIIIIZIXXYZZIXIIIXIYI (0.0015580343652544187+0j)
IIIIIIIIIZYYXZZIYIIIXIYI (0.0015580343652544187+0j)
XIXYZIIIYIXXXIIIXIIIXIXZ (-0.002025286527915529+0j)
XIXXZIIIYIXYXIIIXIIIXIXZ (0.002025286527915529+0j)
XIXYZIIIYIXXYZZIXIIIXIYI (-0.002025286527915529+0j)
XIXXZIIIYIXYYZZIXIIIXIYI (0.002025286527915529+0j)
XIIIXIYIYIXZXIIIXIIIXIXZ (-0.0037420844208041174+0j)
XIIIXIXZYIYIXIIIXIIIXIXZ (0.0037420844208041174+0j)
XIIIXIYIYIXZYZZIXIIIXIYI (-0.0037420844208041174+0j)
XIIIXIXZYIYIYZZIXIIIXIYI (0.0037420844208041174+0j)
YIIIIIIIYIXZXIIIXIIIXIXZ (-0.006740806301438045+0j)
XZZIZIIIYIYIXIIIXIIIXIXZ (0.006740806301438045+0j)
YIIIIIIIYIXZYZZIXIIIXIYI (-0.006740806301438045+0j)
XZZIZIIIYIYIYZZIXIIIXIYI (0.006740806301438045+0j)
IIIIIIIIZXZIXIIIXIIIXIXZ (0.0028128949728260496+0j)
IIIIIIIIIXIIYIIIYIIIXIXZ (0.0028128949728260496+0j)
IIIIIIIIZXZIYZZIXIIIXIYI (0.0028128949728260496+0j)
IIIIIIIIIXIIXZZIYIIIXIYI (-0.0028128949728260496+0j)
XIXYZIIIYXZIXIIIXIIIXIXZ (-0.00456006267846691+0j)
XIXXZIIIYYZIXIIIXIIIXIXZ (0.00456006267846691+0j)
XIXYZIIIYXZIYZZIXIIIXIYI (-0.00456006267846691+0j)
XIXXZIIIYYZIYZZIXIIIXIYI (0.00456006267846691+0j)
XIYIZIIIYZZIXIIIXIIIXIXZ (0.004706313698958907+0j)
XIXZZIIIXIIIYIIIYIIIXIXZ (-0.004706313698958907+0j)
XIYIZIIIYZZIYZZIXIIIXIYI (0.004706313698958907+0j)
XIXZZIIIXIIIXZZIYIIIXIYI (0.004706313698958907+0j)
IIIIIIZXIIIIYIIIYIIIXIXZ (0.0009911180160198008+0j)
IIIIIIIXIIIIYIIIYIIIXIXZ (-0.0009911180160198008+0j)
IIIIIIZXIIIIXZZIYIIIXIYI (-0.0009911180160198008+0j)
IIIIIIIXIIIIXZZIYIIIXIYI (0.0009911180160198008+0j)
ZIIIXIXXIIIIYIIIYIIIXIXZ (-0.0002570989124986806+0j)
IZZIYIXYIIIIYIIIYIIIXIXZ (-0.0002570989124986806+0j)
ZIIIXIXXIIIIXZZIYIIIXIYI (0.0002570989124986806+0j)
IZZIYIXYIIIIXZZIYIIIXIYI (0.0002570989124986806+0j)
IYZIYIXZIIIIYIIIYIIIXIXZ (0.0035775152011284514+0j)
IXZIYIYIIIIIYIIIYIIIXIXZ (-0.0035775152011284514+0j)
IYZIYIXZIIIIXZZIYIIIXIYI (-0.0035775152011284514+0j)
IXZIYIYIIIIIXZZIYIIIXIYI (0.0035775152011284514+0j)
IIZXIIIIIIIIYIIIYIIIXIXZ (0.0011645690820392479+0j)
IIIXIIIIIIIIYIIIYIIIXIXZ (-0.0011645690820392479+0j)
IIZXIIIIIIIIXZZIYIIIXIYI (-0.0011645690820392479+0j)
IIIXIIIIIIIIXZZIYIIIXIYI (0.0011645690820392479+0j)
ZXZIZIIIIIIIYIIIYIIIXIXZ (-0.0005286319439245347+0j)
IXIIIIIIIIIIYIIIYIIIXIXZ (0.0005286319439245347+0j)
ZXZIZIIIIIIIXZZIYIIIXIYI (0.0005286319439245347+0j)
IXIIIIIIIIIIXZZIYIIIXIYI (-0.0005286319439245347+0j)
IIIIIIIIIIIIIIIIIIIIZIZI (0.08001674537559778+0j)
IIIIIIIIIIIIXIXYYIIIXIZI (-0.012717815433166735+0j)
IIIIIIIIIIIIXIXXYIIIYZII (0.012717815433166735+0j)
IIIIIIIIIIIIIIIIIIIZIZII (0.07311431611808644+0j)
IIIIIIIIIIIIXYZIYIXXZZII (-0.004676969881311048+0j)
IIIIIIIIIIIIXXZIYIXYZZII (0.004676969881311048+0j)
IIIIIIIIIIIIIIIIIIZZIZII (0.07331724492056498+0j)
IIIIIIIIIIIIYIIIYIXZZZII (-0.012015907809112165+0j)
IIIIIIIIIIIIXZZIYIYIZZII (0.012015907809112165+0j)
IIIIIIIIIIIIIIIIIZIIIZII (0.09083604363857978+0j)
IIIIIIIIIIIIIIIIZZZIZZII (0.09092245274118493+0j)
IIIIIIIIIIIIIIIZIIIIIZII (0.08601578647434453+0j)
IIIIIIIIIIIIIIZZIIIIIZII (0.08097185312156806+0j)
IIIIIIIIIIIIIZIIIIIIIZII (0.08293294531111063+0j)
IIIIIIIIIIIIZZZIIIIIIZII (0.09173201022938017+0j)
IIIIIIIIIIIZIIIIIIIIIZII (0.12111715656924196+0j)
IIIIIIIIIYYXIIIIIIIIIZII (0.00034816024137517324+0j)
IIIIIIIIIXYYIIIIIIIIIZII (-0.00034816024137517324+0j)
XIYIZIIIYIXXZIIIZIIIIZII (-0.0006601941035286676+0j)
XIXZZIIIYIXYZIIIZIIIIZII (0.0006601941035286676+0j)
IIIIIIIIIIZZIIIIIIIIIZII (0.09768204617176723+0j)
XIIIXIXYYIXZZIIIZIIIIZII (-0.0005483514551716312+0j)
XIIIXIXXYIYIZIIIZIIIIZII (0.0005483514551716312+0j)
XYZIZIIIYIXZZIIIZIIIIZII (-0.007454562072135191+0j)
XXZIZIIIYIYIZIIIZIIIIZII (0.007454562072135191+0j)
IIIIIIIIIZIIIIIIIIIIIZII (0.10025030115059654+0j)
XIYIZIIIYXZIZIIIZIIIIZII (0.01141815607685618+0j)
XIXZZIIIYYZIZIIIZIIIIZII (-0.01141815607685618+0j)
IIIIIIIIZZZIZIIIZIIIIZII (0.09534760548636137+0j)
XIXYZIIIYZZIZIIIZIIIIZII (-0.008165957614392542+0j)
XIXXZIIIXIIIIIIIIIIIIZII (-0.008165957614392542+0j)
IIIIIIIZIIIIIIIIIIIIIZII (0.10040829328656248+0j)
IYZIYIXXIIIIIIIIIIIIIZII (-0.01108300758240622+0j)
IXZIYIXYIIIIIIIIIIIIIZII (0.01108300758240622+0j)
IIIIIIZZIIIIIIIIIIIIIZII (0.09531687734142572+0j)
ZIIIXIXZIIIIIIIIIIIIIZII (0.010587574022799761+0j)
IZZIYIYIIIIIIIIIIIIIIZII (0.010587574022799761+0j)
IIIIIZIIIIIIIIIIIIIIIZII (0.09810568597115672+0j)
IIIIZZZIIIIIIIIIIIIIIZII (0.10223704995077809+0j)
IIIZIIIIIIIIIIIIIIIIIZII (0.09289669468241195+0j)
IIZZIIIIIIIIIIIIIIIIIZII (0.09491385267587076+0j)
